Start with N = 1000, C0 = 10, max_point = 5, feature_case = core
The time for constructing x_order and v_order 593 milliseconds
The time for constructing optimization model is 8907 milliseconds, start solving the model
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : CONIC (conic optimization problem)
  Constraints            : 3259            
  Affine conic cons.     : 2000            
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 5123            
  Matrix variables       : 0               
  Integer variables      : 1123            

Optimizer started.
Mixed integer optimizer started.
Threads used: 10
Presolve started.
Presolve terminated. Time = 0.39, probing time =  0.23
Presolved problem: 7085 variables, 2198 constraints, 15205 non-zeros
Presolved problem: 108 general integer, 977 binary, 6000 continuous
Presolved problem: 2000 cones
Clique table size: 107
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
28311    28520    26870    100      4.3410604995e+02     3.3958167557e+02     21.77       734.8 
28531    28740    27070    107      4.3410604995e+02     3.3958167557e+02     21.77       740.4 
28744    28955    27271    28       4.3410604995e+02     3.3958167557e+02     21.77       745.9 
28952    29166    27463    121      4.3410604995e+02     3.3958167557e+02     21.77       751.3 
29167    29381    27672    102      4.3410604995e+02     3.3958167557e+02     21.77       756.9 
29379    29593    27884    106      4.3410604995e+02     3.3958167557e+02     21.77       762.5 
29596    29810    28095    41       4.3410604995e+02     3.3958167557e+02     21.77       768.0 
29811    30025    28298    95       4.3410604995e+02     3.3958167557e+02     21.77       773.4 
30027    30246    28478    62       4.3410604995e+02     3.3958167557e+02     21.77       778.8 
30222    30444    28637    81       4.2374827043e+02     3.3958167557e+02     19.86       784.1 
30440    30657    28831    101      4.2374827043e+02     3.3958167557e+02     19.86       789.4 
30657    30876    29030    121      4.2374827043e+02     3.3958167557e+02     19.86       794.7 
30871    31094    29236    137      4.2374827043e+02     3.3958167557e+02     19.86       799.9 
31092    31316    29445    72       4.2374827043e+02     3.3958167557e+02     19.86       805.3 
31310    31534    29657    40       4.2374827043e+02     3.3958167557e+02     19.86       810.8 
31505    31733    29840    74       4.2374827043e+02     3.3958167557e+02     19.86       816.1 
31706    31935    30019    72       4.2374827043e+02     3.3958167557e+02     19.86       821.4 
31900    32129    30185    85       4.2374827043e+02     3.3958171390e+02     19.86       826.5 
32099    32328    30356    95       4.2374827043e+02     3.3958171390e+02     19.86       831.6 
32300    32529    30535    100      4.2374827043e+02     3.3958171390e+02     19.86       836.2 
32500    32731    30701    101      4.2374827043e+02     3.3958171390e+02     19.86       840.8 
32703    32942    30864    23       4.2374827043e+02     3.3958171390e+02     19.86       845.6 
32912    33154    31043    119      4.2374827043e+02     3.3958171390e+02     19.86       850.2 
33121    33370    31236    120      4.2374827043e+02     3.3958171390e+02     19.86       854.8 
33326    33577    31427    141      4.2374827043e+02     3.3958175550e+02     19.86       859.2 
33535    33786    31634    163      4.2374827043e+02     3.3958175550e+02     19.86       863.8 
33745    33997    31836    186      4.2374827043e+02     3.3958175550e+02     19.86       868.4 
33905    34161    31988    201      4.0519880000e+02     3.3958175550e+02     16.19       873.1 
34117    34367    32182    115      4.0519880000e+02     3.3958175550e+02     16.19       877.8 
34322    34575    32379    121      4.0519880000e+02     3.3958175550e+02     16.19       882.3 
34532    34787    32569    114      4.0519880000e+02     3.3958175550e+02     16.19       886.8 
34747    35003    32738    98       4.0519880000e+02     3.3958175550e+02     16.19       891.4 
34958    35215    32929    39       4.0519880000e+02     3.3958175550e+02     16.19       896.1 
35166    35423    33109    86       4.0519880000e+02     3.3958175550e+02     16.19       901.0 
35375    35636    33288    102      4.0519880000e+02     3.3958175550e+02     16.19       905.9 
35582    35849    33453    109      4.0519880000e+02     3.3958175550e+02     16.19       910.5 
35791    36061    33610    119      4.0519880000e+02     3.3958175550e+02     16.19       915.4 
36008    36278    33815    142      4.0519880000e+02     3.3958175550e+02     16.19       920.7 
36226    36498    34025    158      4.0519880000e+02     3.3958175550e+02     16.19       926.0 
36445    36719    34232    127      4.0519880000e+02     3.3958266276e+02     16.19       931.3 
36666    36940    34435    129      4.0519880000e+02     3.3958266410e+02     16.19       936.6 
36885    37161    34630    127      4.0519880000e+02     3.3958267593e+02     16.19       941.8 
37103    37383    34820    123      4.0519880000e+02     3.3958267593e+02     16.19       946.9 
37324    37609    35001    57       4.0519880000e+02     3.3958268785e+02     16.19       952.1 
37547    37834    35148    136      4.0519880000e+02     3.3958270075e+02     16.19       957.2 
37767    38055    35338    132      4.0519880000e+02     3.3958270075e+02     16.19       962.5 
37968    38258    35533    131      4.0519880000e+02     3.3958270075e+02     16.19       967.8 
38189    38481    35746    136      4.0519880000e+02     3.3958270075e+02     16.19       973.1 
38411    38703    35958    159      4.0519880000e+02     3.3958270075e+02     16.19       978.3 
38634    38926    36165    175      4.0519880000e+02     3.3958270075e+02     16.19       983.4 
38852    39148    36363    188      4.0519880000e+02     3.3958270075e+02     16.19       988.5 
39074    39373    36545    205      4.0519880000e+02     3.3958270075e+02     16.19       993.6 
39297    39600    36720    137      4.0519880000e+02     3.3958270980e+02     16.19       998.7 
