ORIGINAL
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : CONIC (conic optimization problem)
  Constraints            : 28682           
  Affine conic cons.     : 20000           
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 44342           
  Matrix variables       : 0               
  Integer variables      : 4342            

Optimizer started.
Mixed integer optimizer started.
Threads used: 20
Presolve started.
Presolve terminated. Time = 3.77, probing time =  3.15
Presolved problem: 64276 variables, 24251 constraints, 176760 non-zeros
Presolved problem: 1 general integer, 4275 binary, 60000 continuous
Presolved problem: 20000 cones
Clique table size: 4251
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
53091    52898    6526     50       4.8166272609e+03     4.7495472553e+03     1.39        3142.2
53611    53418    6606     39       4.8166272609e+03     4.7495669500e+03     1.39        3168.4
54138    53945    6675     43       4.8166272609e+03     4.7495705250e+03     1.39        3192.7
54663    54470    6744     33       4.8166272609e+03     4.7506818607e+03     1.37        3218.8
55193    55000    6776     30       4.8166272609e+03     4.7509057539e+03     1.36        3242.9
55726    55533    6831     40       4.8166272609e+03     4.7512328528e+03     1.36        3267.8
56261    56068    6864     48       4.8166272609e+03     4.7515652206e+03     1.35        3292.6
56786    56593    6925     37       4.8166272609e+03     4.7516124915e+03     1.35        3319.6
57316    57123    6953     28       4.8166272609e+03     4.7518596606e+03     1.34        3343.9
57840    57647    6969     76       4.8166272609e+03     4.7523608933e+03     1.33        3370.2
58345    58152    7044     29       4.8166272609e+03     4.7527952803e+03     1.33        3396.0
58862    58669    7099     52       4.8166272609e+03     4.7530193518e+03     1.32        3421.5
59392    59199    7159     42       4.8166272609e+03     4.7531316180e+03     1.32        3445.9
59920    59727    7239     43       4.8166272609e+03     4.7532771073e+03     1.32        3470.6
60452    60259    7287     111      4.8166272609e+03     4.7537711142e+03     1.30        3494.7
60978    60785    7363     114      4.8166272609e+03     4.7538687844e+03     1.30        3520.0
61503    61310    7434     50       4.8166272609e+03     4.7543125578e+03     1.29        3544.1
62030    61837    7467     39       4.8166272609e+03     4.7545139406e+03     1.29        3568.2
62542    62349    7499     33       4.8166272609e+03     4.7549261553e+03     1.28        3598.0
63056    62863    7545     47       4.8166272609e+03     4.7550241176e+03     1.28        3623.3
63557    63364    7592     86       4.8166272609e+03     4.7552502346e+03     1.27        3650.0
64078    63885    7651     65       4.8166272609e+03     4.7555929822e+03     1.27        3676.7
64600    64407    7661     87       4.8166272609e+03     4.7561058373e+03     1.26        3702.0
65138    64945    7753     35       4.8166272609e+03     4.7561785467e+03     1.26        3725.5
65672    65479    7841     37       4.8166272609e+03     4.7565174139e+03     1.25        3750.0
66201    66008    7898     51       4.8166272609e+03     4.7566665430e+03     1.24        3774.8
66735    66542    7952     36       4.8166272609e+03     4.7569672974e+03     1.24        3798.9
67264    67071    7977     77       4.8166272609e+03     4.7573552618e+03     1.23        3822.0
67782    67589    8041     55       4.8166272609e+03     4.7575406211e+03     1.23        3850.8
68293    68100    8106     124      4.8166272609e+03     4.7577668478e+03     1.22        3876.6
68817    68624    8154     56       4.8166272609e+03     4.7579626456e+03     1.22        3900.5
69341    69148    8254     101      4.8166272609e+03     4.7579672479e+03     1.22        3924.7
69872    69679    8331     104      4.8166272609e+03     4.7581530798e+03     1.21        3949.5
70394    70201    8375     48       4.8166272609e+03     4.7582614820e+03     1.21        3977.2
70916    70723    8399     114      4.8166272609e+03     4.7586171256e+03     1.20        4001.7
71446    71253    8483     119      4.8166272609e+03     4.7586442214e+03     1.20        4025.5
71980    71787    8583     44       4.8166272609e+03     4.7587751251e+03     1.20        4050.0
72481    72288    8602     46       4.8166272609e+03     4.7590900049e+03     1.19        4075.2
73022    72829    8637     48       4.8166272609e+03     4.7595169234e+03     1.19        4098.4
73553    73360    8674     127      4.8166272609e+03     4.7596724493e+03     1.18        4122.4
74081    73888    8742     79       4.8166272609e+03     4.7598759989e+03     1.18        4146.9
74613    74420    8790     68       4.8166272609e+03     4.7600520594e+03     1.17        4173.3
75148    74955    8845     61       4.8166272609e+03     4.7602078793e+03     1.17        4199.9
75681    75488    8892     54       4.8166272609e+03     4.7603335369e+03     1.17        4223.8
76209    76016    8918     23       4.8166272609e+03     4.7605956047e+03     1.16        4247.7
76735    76542    8966     50       4.8166272609e+03     4.7605999409e+03     1.16        4272.6
77254    77061    8993     67       4.8166272609e+03     4.7609438707e+03     1.16        4297.8
77785    77592    9044     83       4.8166272609e+03     4.7610986851e+03     1.15        4322.1
78317    78124    9098     87       4.8166272609e+03     4.7611248178e+03     1.15        4346.3
78823    78630    9160     89       4.8166272609e+03     4.7613841289e+03     1.15        4371.8
79354    79161    9215     95       4.8166272609e+03     4.7615449264e+03     1.14        4395.7
79882    79689    9267     49       4.8166272609e+03     4.7616107607e+03     1.14        4420.7
80416    80223    9299     45       4.8166272609e+03     4.7618158775e+03     1.14        4444.9
80953    80760    9358     58       4.8166272609e+03     4.7619381306e+03     1.14        4470.3
81485    81292    9408     63       4.8166272609e+03     4.7620259035e+03     1.13        4494.7
82020    81827    9487     129      4.8166272609e+03     4.7621456203e+03     1.13        4518.4
82554    82361    9513     121      4.8166272609e+03     4.7622744206e+03     1.13        4542.6
83091    82898    9560     30       4.8166272609e+03     4.7623952110e+03     1.13        4566.1
83629    83436    9560     34       4.8166272609e+03     4.7625856818e+03     1.12        4590.1
84156    83963    9581     44       4.8166272609e+03     4.7627332554e+03     1.12        4616.4
84660    84467    9601     37       4.8166272609e+03     4.7628556014e+03     1.12        4645.3
85184    84991    9649     39       4.8166272609e+03     4.7630157252e+03     1.11        4670.6
85710    85517    9719     57       4.8166272609e+03     4.7631371282e+03     1.11        4696.7
86247    86054    9738     28       4.8166272609e+03     4.7631867016e+03     1.11        4720.1
86783    86590    9796     110      4.8166272609e+03     4.7631916746e+03     1.11        4744.0
87318    87125    9905     107      4.8166272609e+03     4.7633217314e+03     1.11        4768.5
87853    87660    9962     114      4.8166272609e+03     4.7635034551e+03     1.10        4792.1
88385    88192    10020    92       4.8166272609e+03     4.7636885038e+03     1.10        4816.4
88920    88727    10077    61       4.8166272609e+03     4.7638027328e+03     1.10        4839.9
89453    89260    10120    102      4.8166272609e+03     4.7638027328e+03     1.10        4864.0
89984    89791    10159    101      4.8166272609e+03     4.7639646738e+03     1.09        4888.4
90494    90301    10195    63       4.8166272609e+03     4.7642085848e+03     1.09        4916.6
91024    90831    10207    39       4.8166272609e+03     4.7642576875e+03     1.09        4946.6
91555    91362    10228    58       4.8166272609e+03     4.7644481496e+03     1.08        4971.1
92087    91894    10246    63       4.8166272609e+03     4.7645631728e+03     1.08        4995.7
92617    92424    10222    64       4.8166272609e+03     4.7646206882e+03     1.08        5020.1
93152    92959    10247    45       4.8166272609e+03     4.7649303965e+03     1.07        5043.9
93683    93490    10248    37       4.8166272609e+03     4.7650727248e+03     1.07        5068.8
94220    94027    10281    51       4.8166272609e+03     4.7651953547e+03     1.07        5093.8
94757    94564    10364    36       4.8166272609e+03     4.7653801992e+03     1.06        5117.4
95271    95078    10394    29       4.8166272609e+03     4.7654742358e+03     1.06        5142.9
95803    95610    10446    58       4.8166272609e+03     4.7655657316e+03     1.06        5166.4
96332    96139    10447    45       4.8166272609e+03     4.7656049632e+03     1.06        5190.6
96857    96664    10478    44       4.8166272609e+03     4.7658461481e+03     1.05        5215.5
97382    97189    10523    31       4.8166272609e+03     4.7660301195e+03     1.05        5245.9
97921    97728    10554    83       4.8166272609e+03     4.7661134457e+03     1.05        5269.9
98458    98265    10583    55       4.8166272609e+03     4.7661352503e+03     1.05        5293.2
98990    98797    10619    52       4.8166272609e+03     4.7662807055e+03     1.05        5317.7
99523    99330    10652    31       4.8166272609e+03     4.7664647659e+03     1.04        5342.2
100020   99827    10649    34       4.8166272609e+03     4.7664647659e+03     1.04        5367.9
100547   100354   10674    42       4.8166272609e+03     4.7667515342e+03     1.04        5392.4
101080   100887   10721    27       4.8166272609e+03     4.7669094978e+03     1.03        5417.1
101609   101416   10752    39       4.8166272609e+03     4.7670260911e+03     1.03        5441.9
102137   101944   10788    29       4.8166272609e+03     4.7671707311e+03     1.03        5466.3
102670   102477   10805    55       4.8166272609e+03     4.7672334840e+03     1.03        5490.2
103200   103007   10845    28       4.8166272609e+03     4.7674128145e+03     1.02        5519.3
103727   103534   10890    70       4.8166272609e+03     4.7674128145e+03     1.02        5543.1
104259   104066   10934    31       4.8166272609e+03     4.7676769219e+03     1.02        5567.5
104791   104598   10934    33       4.8166272609e+03     4.7677817671e+03     1.01        5591.2
105326   105133   10969    63       4.8166272609e+03     4.7678948896e+03     1.01        5616.6
105826   105633   11049    77       4.8166272609e+03     4.7679493161e+03     1.01        5643.2
106360   106168   11081    105      4.8166272609e+03     4.7680763519e+03     1.01        5668.1
106903   106711   11094    105      4.8166272609e+03     4.7680764968e+03     1.01        5692.4
107437   107245   11114    61       4.8166272609e+03     4.7682534459e+03     1.00        5716.7
107981   107789   11156    80       4.8166272609e+03     4.7684000706e+03     1.00        5740.8
108526   108334   11203    85       4.8166272609e+03     4.7685248365e+03     1.00        5764.3
109070   108878   11211    91       4.8166272609e+03     4.7686400126e+03     1.00        5787.4
109607   109415   11220    42       4.8166272609e+03     4.7686623242e+03     1.00        5813.0
110147   109955   11260    48       4.8166272609e+03     4.7688291467e+03     0.99        5836.6
110688   110496   11329    63       4.8166272609e+03     4.7690089936e+03     0.99        5860.7
111232   111040   11315    42       4.8166272609e+03     4.7691163400e+03     0.99        5884.6
111769   111577   11292    71       4.8166272609e+03     4.7692242732e+03     0.98        5908.8
112283   112091   11274    46       4.8166272609e+03     4.7693018172e+03     0.98        5933.2
112813   112621   11284    41       4.8166272609e+03     4.7694464132e+03     0.98        5957.8
113350   113158   11281    43       4.8166272609e+03     4.7695636231e+03     0.98        5981.5
113884   113692   11283    81       4.8166272609e+03     4.7697255822e+03     0.97        6005.2
114408   114216   11319    113      4.8166272609e+03     4.7698374273e+03     0.97        6039.2
114927   114735   11318    50       4.8166272609e+03     4.7699409197e+03     0.97        6068.1
115456   115264   11361    64       4.8166272609e+03     4.7700958303e+03     0.97        6093.3
115988   115796   11375    74       4.8166272609e+03     4.7702159540e+03     0.96        6117.7
116524   116332   11419    51       4.8166272609e+03     4.7703897808e+03     0.96        6141.4
117062   116870   11411    109      4.8166272609e+03     4.7704298305e+03     0.96        6165.7
117606   117414   11449    33       4.8166272609e+03     4.7705418247e+03     0.96        6188.8
118121   117929   11472    84       4.8166272609e+03     4.7706701250e+03     0.95        6213.9
118661   118469   11486    46       4.8166272609e+03     4.7707722137e+03     0.95        6237.5
119191   118999   11526    29       4.8166272609e+03     4.7709105957e+03     0.95        6262.3
119720   119528   11555    57       4.8166272609e+03     4.7710231631e+03     0.95        6286.5
120255   120063   11562    57       4.8166272609e+03     4.7711614980e+03     0.94        6310.2
120788   120596   11609    66       4.8166272609e+03     4.7712667386e+03     0.94        6336.1
121332   121140   11617    55       4.8166272609e+03     4.7713901833e+03     0.94        6360.1
121861   121669   11624    45       4.8166272609e+03     4.7715419118e+03     0.94        6385.5
122373   122181   11638    50       4.8166272609e+03     4.7716232712e+03     0.93        6411.3
122902   122710   11639    36       4.8166272609e+03     4.7717191906e+03     0.93        6435.1
123437   123245   11648    56       4.8166272609e+03     4.7718561347e+03     0.93        6460.6
123980   123788   11717    28       4.8166272609e+03     4.7719964682e+03     0.93        6485.3
124524   124332   11753    56       4.8166272609e+03     4.7721197052e+03     0.92        6508.7
125067   124875   11790    70       4.8166272609e+03     4.7721737708e+03     0.92        6532.3
125607   125415   11798    76       4.8166272609e+03     4.7723161590e+03     0.92        6556.0
126149   125957   11794    46       4.8166272609e+03     4.7724130191e+03     0.92        6579.4
126700   126508   11827    70       4.8166272609e+03     4.7725020451e+03     0.92        6603.4
127240   127048   11867    58       4.8166272609e+03     4.7725740124e+03     0.91        6627.1
127775   127583   11856    61       4.8166272609e+03     4.7726263748e+03     0.91        6656.8
128293   128101   11854    45       4.8166272609e+03     4.7727712811e+03     0.91        6684.1
128830   128638   11843    60       4.8166272609e+03     4.7728350038e+03     0.91        6708.3
129372   129180   11857    47       4.8166272609e+03     4.7729260196e+03     0.91        6731.9
129917   129725   11846    86       4.8166272609e+03     4.7730111378e+03     0.91        6754.9
130460   130268   11861    91       4.8166272609e+03     4.7731257006e+03     0.90        6779.8
131002   130810   11887    32       4.8166272609e+03     4.7732057580e+03     0.90        6803.6
131537   131345   11924    57       4.8166272609e+03     4.7733550870e+03     0.90        6828.4
132073   131881   11942    54       4.8166272609e+03     4.7734285542e+03     0.90        6851.9
132614   132422   11977    55       4.8166272609e+03     4.7735387788e+03     0.89        6875.4
133138   132946   11995    30       4.8166272609e+03     4.7736048652e+03     0.89        6900.5
133672   133480   11981    46       4.8166272609e+03     4.7737075478e+03     0.89        6923.9
134212   134020   11989    48       4.8166272609e+03     4.7737771427e+03     0.89        6947.4
134751   134559   11982    48       4.8166272609e+03     4.7739060977e+03     0.89        6971.1
135293   135101   11982    78       4.8166272609e+03     4.7740318214e+03     0.88        6995.8
135838   135646   11969    33       4.8166272609e+03     4.7741188282e+03     0.88        7019.1
136387   136195   11978    56       4.8166272609e+03     4.7741672798e+03     0.88        7043.0
136910   136718   11993    37       4.8166272609e+03     4.7743315836e+03     0.88        7067.7
137452   137260   12013    76       4.8166272609e+03     4.7744007368e+03     0.88        7091.5
137994   137802   12029    34       4.8166272609e+03     4.7745237098e+03     0.87        7114.8
138535   138343   12036    72       4.8166272609e+03     4.7746031085e+03     0.87        7140.0
139085   138893   12036    34       4.8166272609e+03     4.7746772303e+03     0.87        7165.9
139641   139449   12054    29       4.8166272609e+03     4.7747448283e+03     0.87        7189.4

Objective of best integer solution : 4.816627260916e+03      
Best objective bound               : 4.774785444769e+03      
Initial feasible solution objective: Undefined
Construct solution objective       : Not employed
User objective cut value           : Not employed
Number of cuts generated           : 0
Number of branches                 : 139641
Number of relaxations solved       : 139449
Number of interior point iterations: 2494712
Number of simplex iterations       : 0
Time spend presolving the root     : 3.77
Time spend optimizing the root     : 8.74
Mixed integer optimizer terminated. Time: 7200.03

Optimizer terminated. Time: 7200.23 

Something else
  objective value = 4816.627260915508
MOSEK error 2950: No dual information is available for the integer solution.
* Solver : Mosek

* Status
  Result count       : 1
  Termination status : TIME_LIMIT
  Message from the solver:
  "Mosek.MSK_RES_TRM_MAX_TIME"

* Candidate solution (result #1)
  Primal status      : FEASIBLE_POINT
  Dual status        : UNKNOWN_RESULT_STATUS
  Objective value    : 4.81663e+03
  Objective bound    : 4.77479e+03
  Relative gap       : 8.69539e-03

* Work counters
  Solve time (sec)   : 7.20023e+03
  Simplex iterations : 0
  Barrier iterations : 2494712
  Node count         : 139641
QUARTILE
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : CONIC (conic optimization problem)
  Constraints            : 20592           
  Affine conic cons.     : 20000           
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 40297           
  Matrix variables       : 0               
  Integer variables      : 297             

Optimizer started.
Mixed integer optimizer started.
Threads used: 20
Presolve started.
Presolve terminated. Time = 2.37, probing time =  1.87
Presolved problem: 60181 variables, 20156 constraints, 154665 non-zeros
Presolved problem: 1 general integer, 180 binary, 60000 continuous
Presolved problem: 20000 cones
Clique table size: 156
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        1        0        NA                   4.5869778676e+03     NA          4.1   
0        1        1        0        5.4652811120e+03     4.5869778676e+03     16.07       13.2  
Cut generation started.
0        1        1        0        5.4652811120e+03     4.5869778668e+03     16.07       25.5  
Cut generation terminated. Time = 0.16
8        12       9        4        5.4652811120e+03     4.5898636657e+03     16.02       37.1  
