Start with N = 5000, C0 = 10, max_point = 5, feature_case = full
The time for constructing x_order and v_order 530 milliseconds
The time for constructing optimization model is 7741 milliseconds, start solving the model
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : CONIC (conic optimization problem)
  Constraints            : 25576           
  Affine conic cons.     : 10000           
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 27789           
  Matrix variables       : 0               
  Integer variables      : 7789            

Optimizer started.
Mixed integer optimizer started.
Threads used: 10
Presolve started.
Presolve terminated. Time = 2.56, probing time =  2.13
Presolved problem: 37591 variables, 17518 constraints, 234880 non-zeros
Presolved problem: 1 general integer, 7590 binary, 30000 continuous
Presolved problem: 10000 cones
Clique table size: 7518
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
19933    19310    3894     22       2.3220107258e+03     2.1976150571e+03     5.36        4092.4
20168    19545    3921     35       2.3220107258e+03     2.1977070364e+03     5.35        4127.8
20392    19769    3983     69       2.3220107258e+03     2.1978949679e+03     5.35        4166.7
20633    20010    4040     76       2.3195571585e+03     2.1979938571e+03     5.24        4229.1
20897    20251    4052     38       2.3168470338e+03     2.1980755138e+03     5.13        4255.6
21122    20467    4087     39       2.3168470338e+03     2.1985001971e+03     5.11        4291.6
21340    20684    4113     21       2.3166376744e+03     2.1986136265e+03     5.09        4341.9
21574    20915    4133     41       2.3166376744e+03     2.1986831941e+03     5.09        4394.9
21793    21131    4164     56       2.3166376744e+03     2.1987912643e+03     5.09        4453.8
22029    21366    4208     56       2.3166376744e+03     2.1990318971e+03     5.08        4494.6
22262    21599    4249     22       2.3166376744e+03     2.1990943057e+03     5.07        4539.7
22502    21838    4275     54       2.3166376744e+03     2.1991854927e+03     5.07        4602.5
22730    22066    4295     25       2.3166376744e+03     2.1993087152e+03     5.06        4649.9
22975    22311    4324     49       2.3166376744e+03     2.1994909598e+03     5.06        4687.6
23207    22543    4348     23       2.3166376744e+03     2.1995623412e+03     5.05        4722.9
23431    22767    4374     26       2.3166376744e+03     2.1996533040e+03     5.05        4762.1
23667    23003    4430     47       2.3166376744e+03     2.1997410745e+03     5.05        4797.0
23910    23246    4499     71       2.3166376744e+03     2.1998199772e+03     5.04        4855.5
24149    23485    4556     67       2.3162666809e+03     2.1998976696e+03     5.02        4905.5
24376    23708    4597     25       2.3113931403e+03     2.1999821310e+03     4.82        4953.7
24664    23942    4569     43       2.3110584756e+03     2.2001510482e+03     4.80        4986.0
24901    24163    4586     52       2.3109716610e+03     2.2002869760e+03     4.79        5030.7
